page,tag,text,x0,x1,top,doctop,bottom,upright,direction
0,,RÈGLEMENT,310.99,397.35568,86.60839999999996,86.60839999999996,100.64839999999992,True,1
0,,1322,400.9,431.38696,86.60839999999996,86.60839999999996,100.64839999999992,True,1
0,,de,229.13,241.40648,115.01840000000004,115.01840000000004,126.0584,True,1
0,,type,245.67896,266.47832,115.01840000000004,115.01840000000004,126.0584,True,1
0,,parapluie,270.62936,315.88232,115.01840000000004,115.01840000000004,126.0584,True,1
0,,décrétant,320.17688,365.83831999999995,115.01840000000004,115.01840000000004,126.0584,True,1
0,,un,370.27,382.40295999999995,115.01840000000004,115.01840000000004,126.0584,True,1
0,,emprunt,386.69752,426.93832,115.01840000000004,115.01840000000004,126.0584,True,1
0,,et,431.26,440.32383999999996,115.01840000000004,115.01840000000004,126.0584,True,1
0,,une,444.67359999999996,462.9448,115.01840000000004,115.01840000000004,126.0584,True,1
0,,dépense,467.21727999999996,509.35695999999996,115.01840000000004,115.01840000000004,126.0584,True,1
0,,de,229.13,241.38827999999998,127.61839999999995,127.61839999999995,138.65839999999992,True,1
0,,1,244.49,250.62824,127.61839999999995,127.61839999999995,138.65839999999992,True,1
0,,795,253.73,272.1116,127.61839999999995,127.61839999999995,138.65839999999992,True,1
0,,000,275.08136,293.46296,127.61839999999995,127.61839999999995,138.65839999999992,True,1
0,,$,296.59,302.72823999999997,127.61839999999995,127.61839999999995,138.65839999999992,True,1
0,,en,305.71,317.98648,127.61839999999995,127.61839999999995,138.65839999999992,True,1
0,,immobilisations,321.06664,396.09999999999997,127.61839999999995,127.61839999999995,138.65839999999992,True,1
0,,pour,399.22,421.27792,127.61839999999995,127.61839999999995,138.65839999999992,True,1
0,,l’année,424.41328000000004,459.8296,127.61839999999995,127.61839999999995,138.65839999999992,True,1
0,,2022.,462.94,490.36912,127.61839999999995,127.61839999999995,138.65839999999992,True,1
0,,Séance,87.744,125.10336,166.13840000000005,166.13840000000005,177.1784,True,1
0,,ordinaire,128.90112,171.74736000000001,166.13840000000005,166.13840000000005,177.1784,True,1
0,,du,175.43472,187.7112,166.13840000000005,166.13840000000005,177.1784,True,1
0,,conseil,191.38752,225.57656,166.13840000000005,166.13840000000005,177.1784,True,1
0,,"municipal,",229.35224,278.84456,166.13840000000005,166.13840000000005,177.1784,True,1
0,,tenue,282.59815999999995,310.23127999999997,166.13840000000005,166.13840000000005,177.1784,True,1
0,,en,314.02903999999995,326.30551999999994,166.13840000000005,166.13840000000005,177.1784,True,1
0,,"visioconférence,",329.86039999999997,409.34839999999997,166.13840000000005,166.13840000000005,177.1784,True,1
0,,le,413.38,421.91392,166.13840000000005,166.13840000000005,177.1784,True,1
0,,21,425.62,437.89648,166.13840000000005,166.13840000000005,177.1784,True,1
0,,février,441.57280000000003,472.12048,166.13840000000005,166.13840000000005,177.1784,True,1
0,,"2022,",476.02,503.45439999999996,166.13840000000005,166.13840000000005,177.1784,True,1
0,,à,87.744,93.88224,178.73839999999996,178.73839999999996,189.77839999999992,True,1
0,,laquelle,96.95136,134.80751999999998,178.73839999999996,178.73839999999996,189.77839999999992,True,1
0,,sont,137.9,158.73248,178.73839999999996,178.73839999999996,189.77839999999992,True,1
0,,présents,161.93,204.02552,178.73839999999996,178.73839999999996,189.77839999999992,True,1
0,,les,207.17,221.11352,178.73839999999996,178.73839999999996,189.77839999999992,True,1
0,,membres,224.18264,270.03175999999996,178.73839999999996,178.73839999999996,189.77839999999992,True,1
0,,du,273.14504,285.42152,178.73839999999996,178.73839999999996,189.77839999999992,True,1
0,,conseil,288.38023999999996,322.67992,178.73839999999996,178.73839999999996,189.77839999999992,True,1
0,,suivants,325.738,366.05607999999995,178.73839999999996,178.73839999999996,189.77839999999992,True,1
0,,formant,369.05895999999996,406.42936,178.73839999999996,178.73839999999996,189.77839999999992,True,1
0,,le,409.4764,418.01032,178.73839999999996,178.73839999999996,189.77839999999992,True,1
0,,quorum,421.07944,458.25112,178.73839999999996,178.73839999999996,189.77839999999992,True,1
0,,:,461.38,464.44912,178.73839999999996,178.73839999999996,189.77839999999992,True,1
0,,Monsieur,87.744,133.05216,204.0584,204.0584,215.09839999999997,True,1
0,,Richard,136.19856,173.99951999999996,204.0584,204.0584,215.09839999999997,True,1
0,,Allard,177.06863999999996,205.16544,204.0584,204.0584,215.09839999999997,True,1
0,,Conseiller,292.99,341.79784,204.0584,204.0584,215.09839999999997,True,1
0,,du,344.9332,357.20968,204.0584,204.0584,215.09839999999997,True,1
0,,district,360.28984,392.0188,204.0584,204.0584,215.09839999999997,True,1
0,,1,395.17624,401.31448,204.0584,204.0584,215.09839999999997,True,1
0,,Madame,87.744,130.68959999999998,216.65840000000003,216.65840000000003,227.6984,True,1
0,,Arielle,133.69248,164.17392,216.65840000000003,216.65840000000003,227.6984,True,1
0,,Beaudin,167.24304,207.61631999999997,216.65840000000003,216.65840000000003,227.6984,True,1
0,,Conseillère,292.99,347.93608,216.65840000000003,216.65840000000003,227.6984,True,1
0,,du,351.04936,363.32583999999997,216.65840000000003,216.65840000000003,227.6984,True,1
0,,district,366.406,398.13496,216.65840000000003,216.65840000000003,227.6984,True,1
0,,2,401.2924,407.43064,216.65840000000003,216.65840000000003,227.6984,True,1
0,,Monsieur,87.744,133.05216,229.37840000000006,229.37840000000006,240.41840000000002,True,1
0,,Alexandre,136.19856,185.64671999999996,229.37840000000006,229.37840000000006,240.41840000000002,True,1
0,,Laganière,188.71583999999996,237.57887999999997,229.37840000000006,229.37840000000006,240.41840000000002,True,1
