page,tag,text,x0,x1,top,doctop,bottom,upright,direction
0,,RÈGLEMENT,298.51,365.97544,107.06527999999992,107.06527999999992,118.10527999999988,True,1
0,,NUMÉRO,368.59192,416.42823999999996,107.06527999999992,107.06527999999992,118.10527999999988,True,1
0,,1223,419.26,443.03896,107.06527999999992,107.06527999999992,118.10527999999988,True,1
0,,concernant,221.33,275.91176,132.50527999999997,132.50527999999997,143.54527999999993,True,1
0,,la,280.95704,289.49096,132.50527999999997,132.50527999999997,143.54527999999993,True,1
0,,circulation,294.49208,344.06167999999997,132.50527999999997,132.50527999999997,143.54527999999993,True,1
0,,des,349.0628,366.82615999999996,132.50527999999997,132.50527999999997,143.54527999999993,True,1
0,,véhicules,371.84936,417.58808,132.50527999999997,132.50527999999997,143.54527999999993,True,1
0,,lourds,422.72168,452.72839999999997,132.50527999999997,132.50527999999997,143.54527999999993,True,1
0,,sur,457.72952000000004,472.94264000000004,132.50527999999997,132.50527999999997,143.54527999999993,True,1
0,,certains,477.99896,516.52856,132.50527999999997,132.50527999999997,143.54527999999993,True,1
0,,chemins,221.33,262.37672,145.22528,145.22528,156.26527999999996,True,1
0,,sur,265.44584,280.66999999999996,145.22528,145.22528,156.26527999999996,True,1
0,,le,283.8164,292.35032,145.22528,145.22528,156.26527999999996,True,1
0,,territoire,295.32007999999996,335.72648,145.22528,145.22528,156.26527999999996,True,1
0,,de,338.58584,350.86232,145.22528,145.22528,156.26527999999996,True,1
0,,la,353.94248000000005,362.4764,145.22528,145.22528,156.26527999999996,True,1
0,,Ville,365.54552,386.22344,145.22528,145.22528,156.26527999999996,True,1
0,,de,389.29256,401.56904,145.22528,145.22528,156.26527999999996,True,1
0,,Sainte-Adèle,404.67128,467.75536,145.22528,145.22528,156.26527999999996,True,1
0,,Séance,87.744,125.10336,183.62527999999998,183.62527999999998,194.66528000000005,True,1
0,,ordinaire,129.8616,172.70783999999998,183.62527999999998,183.62527999999998,194.66528000000005,True,1
0,,du,177.47711999999999,189.75359999999998,183.62527999999998,183.62527999999998,194.66528000000005,True,1
0,,conseil,194.45,228.57464000000002,183.62527999999998,183.62527999999998,194.66528000000005,True,1
0,,"municipal,",233.3108,282.80312,183.62527999999998,183.62527999999998,194.66528000000005,True,1
0,,tenue,287.63864,315.27176,183.62527999999998,183.62527999999998,194.66528000000005,True,1
0,,publiquement,320.03,385.94983999999994,183.62527999999998,183.62527999999998,194.66528000000005,True,1
0,,le,390.78535999999997,399.31927999999994,183.62527999999998,183.62527999999998,194.66528000000005,True,1
0,,15,404.26,416.51828,183.62527999999998,183.62527999999998,194.66528000000005,True,1
0,,juin,421.18,438.3472,183.62527999999998,183.62527999999998,194.66528000000005,True,1
0,,2015,443.02,467.51836,183.62527999999998,183.62527999999998,194.66528000000005,True,1
0,,à,472.3,478.43824,183.62527999999998,183.62527999999998,194.66528000000005,True,1
0,,20,483.20752,495.48400000000004,183.62527999999998,183.62527999999998,194.66528000000005,True,1
0,,"h,",500.28,509.34383999999994,183.62527999999998,183.62527999999998,194.66528000000005,True,1
0,,dans,87.744,111.64559999999999,196.22528,196.22528,207.26527999999996,True,1
0,,la,115.57584,124.10976,196.22528,196.22528,207.26527999999996,True,1
0,,salle,128.04,150.61679999999998,196.22528,196.22528,207.26527999999996,True,1
0,,du,154.54703999999998,166.82351999999997,196.22528,196.22528,207.26527999999996,True,1
0,,conseil,170.69,204.94712,196.22528,196.22528,207.26527999999996,True,1
0,,municipal,208.73,255.23912,196.22528,196.22528,207.26527999999996,True,1
0,,située,259.1252,288.53576,196.22528,196.22528,207.26527999999996,True,1
0,,au,292.466,304.74248,196.22528,196.22528,207.26527999999996,True,1
0,,"1386,",308.54024,335.98568,196.22528,196.22528,207.26527999999996,True,1
0,,rue,339.91,355.89592000000005,196.22528,196.22528,207.26527999999996,True,1
0,,"Dumouchel,",359.81512000000004,418.42648,196.22528,196.22528,207.26527999999996,True,1
0,,"Sainte-Adèle,",422.31256,488.34592,196.22528,196.22528,207.26527999999996,True,1
0,,lieu,492.33136,509.3992,196.22528,196.22528,207.26527999999996,True,1
0,,ordinaire,87.744,130.59024,208.9452799999999,208.9452799999999,219.98528,True,1
0,,des,139.07999999999998,156.84336,208.9452799999999,208.9452799999999,219.98528,True,1
0,,séances,165.23376,206.34824,208.9452799999999,208.9452799999999,219.98528,True,1
