page,tag,text,x0,x1,top,doctop,bottom,upright,direction
0,,RÈGLEMENT,294.05,361.394,59.4384,59.4384,70.47839999999997,True,1
0,,NUMÉRO,364.13192000000004,411.96824,59.4384,59.4384,70.47839999999997,True,1
0,,1312,414.79,438.56848,59.4384,59.4384,70.47839999999997,True,1
0,,décrétant,247.49,293.38712000000004,87.12800000000004,87.12800000000004,98.168,True,1
0,,l’identification,296.54456,362.60215999999997,87.12800000000004,87.12800000000004,98.168,True,1
0,,du,365.57192,377.84839999999997,87.12800000000004,87.12800000000004,98.168,True,1
0,,circuit,380.92855999999995,409.66567999999995,87.12800000000004,87.12800000000004,98.168,True,1
0,,de,412.71272,424.9892,87.12800000000004,87.12800000000004,98.168,True,1
0,,ski,428.06935999999996,441.43879999999996,87.12800000000004,87.12800000000004,98.168,True,1
0,,de,444.49688,456.77335999999997,87.12800000000004,87.12800000000004,98.168,True,1
0,,fond,459.74312,481.23799999999994,87.12800000000004,87.12800000000004,98.168,True,1
0,,«,280.61,286.74824,99.84799999999996,99.84799999999996,110.88799999999992,True,1
0,,Munson,289.85,329.11928,99.84799999999996,99.84799999999996,110.88799999999992,True,1
0,,»,332.11,338.24824,99.84799999999996,99.84799999999996,110.88799999999992,True,1
0,,comme,341.23,377.35288,99.84799999999996,99.84799999999996,110.88799999999992,True,1
0,,lieu,380.422,397.534,99.84799999999996,99.84799999999996,110.88799999999992,True,1
0,,historique,400.51,448.30215999999996,99.84799999999996,99.84799999999996,110.88799999999992,True,1
0,,Séance,106.46,143.81936,138.24800000000005,138.24800000000005,149.288,True,1
0,,ordinaire,147.5,190.21375999999998,138.24800000000005,138.24800000000005,149.288,True,1
0,,du,193.94,206.21648,138.24800000000005,138.24800000000005,149.288,True,1
0,,conseil,209.77136,243.90704,138.24800000000005,138.24800000000005,149.288,True,1
0,,"municipal,",247.56127999999998,297.10952,138.24800000000005,138.24800000000005,149.288,True,1
0,,tenue,300.75271999999995,328.38584,138.24800000000005,138.24800000000005,149.288,True,1
