page,tag,text,x0,x1,top,doctop,bottom,upright,direction
0,,RÈGLEMENT,304.97,391.328,60.548400000000015,60.548400000000015,74.58839999999998,True,1
0,,1260-1,394.75,437.35624,60.548400000000015,60.548400000000015,74.58839999999998,True,1
0,,Amendant,229.13,279.37304,88.83839999999998,88.83839999999998,99.87839999999994,True,1
0,,le,289.47463999999997,298.00856,88.83839999999998,88.83839999999998,99.87839999999994,True,1
0,,règlement,308.05496,356.95111999999995,88.83839999999998,88.83839999999998,99.87839999999994,True,1
0,,1260,367.27,391.78983999999997,88.83839999999998,88.83839999999998,99.87839999999994,True,1
0,,afin,401.83,419.58232,88.83839999999998,88.83839999999998,99.87839999999994,True,1
0,,d’augmenter,429.62872,490.67992,88.83839999999998,88.83839999999998,99.87839999999994,True,1
0,,la,500.77048,509.3044,88.83839999999998,88.83839999999998,99.87839999999994,True,1
0,,dépense,229.13,271.41319999999996,101.57839999999999,101.57839999999999,112.61839999999995,True,1
0,,et,277.72808,286.93543999999997,101.57839999999999,101.57839999999999,112.61839999999995,True,1
0,,l’emprunt,293.19512,338.3708,101.57839999999999,101.57839999999999,112.61839999999995,True,1
0,,pour,344.76295999999996,366.67735999999996,101.57839999999999,101.57839999999999,112.61839999999995,True,1
0,,un,373.0584799999999,385.3349599999999,101.57839999999999,101.57839999999999,112.61839999999995,True,1
0,,montant,391.5283999999999,431.3055199999999,101.57839999999999,101.57839999999999,112.61839999999995,True,1
0,,additionnel,437.58727999999985,490.6896799999999,101.57839999999999,101.57839999999999,112.61839999999995,True,1
0,,de,496.9714399999999,509.2479199999999,101.57839999999999,101.57839999999999,112.61839999999995,True,1
0,,520,229.13,247.50832,114.17840000000001,114.17840000000001,125.21839999999997,True,1
0,,000,250.61,268.98832,114.17840000000001,114.17840000000001,125.21839999999997,True,1
0,,$,272.09,278.22823999999997,114.17840000000001,114.17840000000001,125.21839999999997,True,1
0,,et,281.21,290.41736,114.17840000000001,114.17840000000001,125.21839999999997,True,1
0,,modifier,293.45,332.49848,114.17840000000001,114.17840000000001,125.21839999999997,True,1
0,,la,335.71,344.24392,114.17840000000001,114.17840000000001,125.21839999999997,True,1
0,,clause,347.22472,379.042,114.17840000000001,114.17840000000001,125.21839999999997,True,1
0,,de,382.11111999999997,394.38759999999996,114.17840000000001,114.17840000000001,125.21839999999997,True,1
0,,taxation.,397.37943999999993,438.97815999999995,114.17840000000001,114.17840000000001,125.21839999999997,True,1
0,,Séance,87.744,125.10336,152.6984,152.6984,163.73839999999996,True,1
0,,ordinaire,129.98304,172.82927999999998,152.6984,152.6984,163.73839999999996,True,1
0,,du,177.72,189.99648,152.6984,152.6984,163.73839999999996,True,1
0,,conseil,194.9,229.05464,152.6984,152.6984,163.73839999999996,True,1
0,,"municipal,",233.91224,283.40455999999995,152.6984,152.6984,163.73839999999996,True,1
0,,tenue,288.36152,315.99463999999995,152.6984,152.6984,163.73839999999996,True,1
0,,publiquement,320.87431999999995,386.7941599999999,152.6984,152.6984,163.73839999999996,True,1
0,,le,391.75111999999996,400.28504,152.6984,152.6984,163.73839999999996,True,1
0,,16,405.31,417.58648,152.6984,152.6984,163.73839999999996,True,1
0,,décembre,422.46616,471.40648,152.6984,152.6984,163.73839999999996,True,1
0,,2019,476.38,500.75632,152.6984,152.6984,163.73839999999996,True,1
0,,à,505.42,511.55824,152.6984,152.6984,163.73839999999996,True,1
0,,"20h23,",87.744,121.40912,165.29840000000002,165.29840000000002,176.33839999999998,True,1
0,,dans,126.71936,150.62336000000002,165.29840000000002,165.29840000000002,176.33839999999998,True,1
0,,la,155.88944,164.42336,165.29840000000002,165.29840000000002,176.33839999999998,True,1
0,,salle,169.7888,192.3656,165.29840000000002,165.29840000000002,176.33839999999998,True,1
0,,du,197.73104,209.864,165.29840000000002,165.29840000000002,176.33839999999998,True,1
0,,conseil,215.21,249.46712,165.29840000000002,165.29840000000002,176.33839999999998,True,1
0,,municipal,254.69,301.16839999999996,165.29840000000002,165.29840000000002,176.33839999999998,True,1
0,,située,306.50072,335.78983999999997,165.29840000000002,165.29840000000002,176.33839999999998,True,1
0,,au,341.15527999999995,353.43175999999994,165.29840000000002,165.29840000000002,176.33839999999998,True,1
0,,"1386,",358.66471999999993,386.22056,165.29840000000002,165.29840000000002,176.33839999999998,True,1
0,,rue,391.51,407.49592,165.29840000000002,165.29840000000002,176.33839999999998,True,1
0,,"Dumouchel,",412.72888,471.35128,165.29840000000002,165.29840000000002,176.33839999999998,True,1
0,,Sainte-,476.78296,511.61632,165.29840000000002,165.29840000000002,176.33839999999998,True,1
0,,"Adèle,",87.744,118.90992,177.89840000000004,177.89840000000004,188.9384,True,1
0,,lieu,124.08768,141.15552,177.89840000000004,177.89840000000004,188.9384,True,1
0,,ordinaire,146.26704,188.9808,177.89840000000004,177.89840000000004,188.9384,True,1
0,,des,193.98192,211.62384,177.89840000000004,177.89840000000004,188.9384,True,1
0,,séances,216.76847999999998,257.7048,177.89840000000004,177.89840000000004,188.9384,True,1
0,,à,262.70592,268.84416,177.89840000000004,177.89840000000004,188.9384,True,1
0,,laquelle,274.01,311.9324,177.89840000000004,177.89840000000004,188.9384,True,1
0,,sont,316.93352,337.6556,177.89840000000004,177.89840000000004,188.9384,True,1
0,,présents,342.71191999999996,384.9399199999999,177.89840000000004,177.89840000000004,188.9384,True,1
0,,les,389.96311999999995,404.01703999999995,177.89840000000004,177.89840000000004,188.9384,True,1
0,,membres,409.01815999999997,454.6906399999999,177.89840000000004,177.89840000000004,188.9384,True,1
