page,tag,text,x0,x1,top,doctop,bottom,upright,direction
0,,RÈGLEMENT,283.63,369.99004,67.26840000000004,67.26840000000004,81.3084,True,1
0,,NUMÉRO,373.4158,434.6302,67.26840000000004,67.26840000000004,81.3084,True,1
0,,1240,438.1,468.58696000000003,67.26840000000004,67.26840000000004,81.3084,True,1
0,,décrétant,232.37,278.27432,95.57839999999999,95.57839999999999,106.61839999999995,True,1
0,,un,282.86696,295.14344,95.57839999999999,95.57839999999999,106.61839999999995,True,1
0,,emprunt,299.53736,339.7892,95.57839999999999,95.57839999999999,106.61839999999995,True,1
0,,de,344.38184,356.5148,95.57839999999999,95.57839999999999,106.61839999999995,True,1
0,,1,361.15,367.28824,95.57839999999999,95.57839999999999,106.61839999999995,True,1
0,,460,370.39,388.7716,95.57839999999999,95.57839999999999,106.61839999999995,True,1
0,,000,393.17656,411.55816,95.57839999999999,95.57839999999999,106.61839999999995,True,1
0,,$,416.14,422.27824,95.57839999999999,95.57839999999999,106.61839999999995,True,1
0,,pour,426.6832,448.59759999999994,95.57839999999999,95.57839999999999,106.61839999999995,True,1
0,,la,453.1792,461.71312,95.57839999999999,95.57839999999999,106.61839999999995,True,1
0,,réalisation,466.12911999999994,516.18448,95.57839999999999,95.57839999999999,106.61839999999995,True,1
0,,de,232.37,244.64648,108.29840000000002,108.29840000000002,119.33839999999998,True,1
0,,travaux,248.68712,284.67751999999996,108.29840000000002,108.29840000000002,119.33839999999998,True,1
0,,de,288.62984,300.90632,108.29840000000002,108.29840000000002,119.33839999999998,True,1
0,,reconstruction,304.99,373.99,108.29840000000002,108.29840000000002,119.33839999999998,True,1
0,,des,378.03064,395.794,108.29840000000002,108.29840000000002,119.33839999999998,True,1
0,,conduites,399.74631999999997,446.80983999999995,108.29840000000002,108.29840000000002,119.33839999999998,True,1
0,,d’interception,450.86152,516.36016,108.29840000000002,108.29840000000002,119.33839999999998,True,1
0,,de,232.37,244.64648,120.89840000000004,120.89840000000004,131.9384,True,1
0,,la,253.1252,261.65912000000003,120.89840000000004,120.89840000000004,131.9384,True,1
0,,Station,270.14888,304.52488,120.89840000000004,120.89840000000004,131.9384,True,1
0,,d’épuration,313.01464,367.29832,120.89840000000004,120.89840000000004,131.9384,True,1
0,,Mont-Rolland,375.77703999999994,441.11584,120.89840000000004,120.89840000000004,131.9384,True,1
0,,ainsi,449.62,472.252,120.89840000000004,120.89840000000004,131.9384,True,1
0,,que,480.808,499.31104,120.89840000000004,120.89840000000004,131.9384,True,1
0,,la,507.66832,516.2022400000001,120.89840000000004,120.89840000000004,131.9384,True,1
0,,réfection,232.37,274.598,133.49839999999995,133.49839999999995,144.5383999999999,True,1
0,,d’une,279.59911999999997,306.5036,133.49839999999995,133.49839999999995,144.5383999999999,True,1
0,,partie,311.51576,338.99431999999996,133.49839999999995,133.49839999999995,144.5383999999999,True,1
0,,de,344.00647999999995,356.13944,133.49839999999995,133.49839999999995,144.5383999999999,True,1
0,,la,361.1516,369.68552,133.49839999999995,133.49839999999995,144.5383999999999,True,1
0,,conduite,374.69768,416.35159999999996,133.49839999999995,133.49839999999995,144.5383999999999,True,1
0,,"d’aqueduc,",421.36375999999996,475.06232,133.49839999999995,133.49839999999995,144.5383999999999,True,1
0,,d’égout,480.14072,516.0759199999999,133.49839999999995,133.49839999999995,144.5383999999999,True,1
0,,"pluvial,",232.37,266.51912,146.21839999999997,146.21839999999997,157.25839999999994,True,1
0,,incluant,269.81,307.69928,146.21839999999997,146.21839999999997,157.25839999999994,True,1
0,,le,310.95608,319.49,146.21839999999997,146.21839999999997,157.25839999999994,True,1
0,,coût,322.57016,343.28119999999996,146.21839999999997,146.21839999999997,157.25839999999994,True,1
0,,des,346.43863999999996,364.09159999999997,146.21839999999997,146.21839999999997,157.25839999999994,True,1
0,,"travaux,",367.16071999999997,406.24231999999995,146.21839999999997,146.21839999999997,157.25839999999994,True,1
0,,les,409.5101599999999,423.56407999999993,146.21839999999997,146.21839999999997,157.25839999999994,True,1
0,,frais,426.53383999999994,447.39943999999997,146.21839999999997,146.21839999999997,157.25839999999994,True,1
0,,"inhérents,",450.62312,498.92312000000004,146.21839999999997,146.21839999999997,157.25839999999994,True,1
0,,les,502.08056,516.13448,146.21839999999997,146.21839999999997,157.25839999999994,True,1
0,,honoraires,232.37,284.45671999999996,158.8184,158.8184,169.85839999999996,True,1
0,,professionnels,289.46888,360.24631999999997,158.8184,158.8184,169.85839999999996,True,1
0,,de,365.28056,377.55704,158.8184,158.8184,169.85839999999996,True,1
0,,"surveillance,",382.55816,443.59832000000006,158.8184,158.8184,169.85839999999996,True,1
0,,les,448.65464000000003,462.70856000000003,158.8184,158.8184,169.85839999999996,True,1
0,,"taxes,",467.72072000000003,496.95464000000004,158.8184,158.8184,169.85839999999996,True,1
0,,les,502.01096,516.06488,158.8184,158.8184,169.85839999999996,True,1
0,,imprévus,232.37,277.01576,171.53840000000002,171.53840000000002,182.5784,True,1
0,,et,282.2708,291.47816,171.53840000000002,171.53840000000002,182.5784,True,1
0,,pour,296.65592,318.71383999999995,171.53840000000002,171.53840000000002,182.5784,True,1
0,,autoriser,323.88056,366.57223999999997,171.53840000000002,171.53840000000002,182.5784,True,1
0,,une,371.87144,390.25303999999994,171.53840000000002,171.53840000000002,182.5784,True,1
0,,dépense,395.37559999999996,437.6587999999999,171.53840000000002,171.53840000000002,182.5784,True,1
0,,ne,442.77031999999997,455.04679999999996,171.53840000000002,171.53840000000002,182.5784,True,1
